index,indices,action,type,query,urls,responses
0,"[35359, 31634, 31961, 34369, 33443, 33239, 34699, 35013, 32918, 34974]",bounce,train,Does the object bounce?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4884.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/235.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/665.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3637.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2488.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2246.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4064.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4455.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1845.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4409.mp4""]",0
1,"[58291, 59140, 60051, 59838, 58102, 59468, 60353, 59717, 59483, 59546]",bump,train,Does the object get bumped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1009.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2655.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4551.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4123.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/631.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3305.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5154.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3867.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3336.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3471.mp4""]",0
2,"[10852, 6684, 9854, 9275, 8587, 11572, 8870, 7520, 11551, 7175]",carry,train,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4278.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/110.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3280.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2701.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2013.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4998.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2296.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/946.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4977.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/601.mp4""]",0
3,"[42100, 44611, 44567, 44297, 44815, 43407, 45711, 44887, 42846, 44547]",drop,train,Does the object get dropped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/150.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3275.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3220.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2893.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3527.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1784.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4666.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3616.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1094.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3192.mp4""]",0
4,"[37463, 40560, 37360, 40813, 38874, 40236, 40036, 37268, 38312, 40769]",fall,train,Does the object fall?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/950.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4802.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/825.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5117.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2700.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4403.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4157.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/713.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2011.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5067.mp4""]",0
5,"[50651, 50465, 50193, 50121, 48317, 50141, 50685, 50054, 48952, 49594]",fall off,train,Does the object fall off something?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4252.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4022.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3664.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3575.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1346.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3597.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4298.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3492.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2138.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2932.mp4""]",0
6,"[52836, 52709, 52834, 53289, 54976, 55820, 53999, 54647, 56467, 55197]",fall over,train,Does the object fall over?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/405.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/239.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/403.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/975.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3069.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4128.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1855.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2660.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4929.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3337.mp4""]",0
7,"[72113, 71785, 74322, 72020, 74723, 71512, 72446, 73889, 71873, 75533]",flip,train,Is the object flipping?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1143.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/815.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3352.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1050.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3753.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/542.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1476.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2919.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/903.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4563.mp4""]",0
8,"[2066, 582, 2040, 2486, 2132, 2042, 1716, 2419, 732, 1471]",hit,train,Does the object get hit?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4154.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1159.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4102.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4990.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4272.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3383.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4841.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1462.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2892.mp4""]",0
9,"[66806, 66506, 66717, 66547, 66732, 66509, 66523, 66350, 66677, 66578]",pick up,train,Does the object get picked up?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4169.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1569.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3419.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1967.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3562.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1601.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1756.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/27.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2185.mp4""]",0
