index,batch_idx,hit_id
0,0,3DIIW4IV8PVWHDMFDUZHMW6LWTQI4G
1,1,3XBYQ44Z6P4YZTLAHC44VVRLR35WTX
2,2,3J94SKDEKIPX5LATZLHG0RWM4KDD5E
3,3,3H6W48L9F4P071S30VVKQLQO20KPWL
4,4,307L9TDWJYS3DIE2AW7QHZAW4SON3G
5,5,35A1YQPVFEGEDWQFRZIRROCZWPLI5L
6,6,3SMIWMMK615DZ60ZHHUE0RDNAHCWUO
7,7,3KL228NDMVM3ZO5N8YMU81I1E2OKGG
8,8,3PZDSVZ3J5HOVEX6AAC9R422ISKN41
9,9,3S8APUMBJXJWSL5YR13JRDZZQTFFBS
10,10,36QZ6V1589DKSPJQXCKD32A244GUS7
11,11,3UUSLRKAUL3CSPOCNEWDYBAIVQ8D7T
12,12,32LAQ1JNT9PL7PW5MCP3D76O6NUUTW
13,13,33P2GD6NRNSHZK0YS44CT1U2T21KHF
14,14,3YCT0L9OMM97XZZH0B8RP7I8W8NSND
15,15,3WGZLY9VCHMGS3TVXJOJCB6D6AED8G
16,16,3YO4AH2FPDKSZNSX71HOJV7U6RRQ0B
17,17,3OID399FXG7P7I3I5XUPM3NZTERFDZ
18,18,3XWUWJ18TLQ072BUMHFDI3SQP11UUN
19,19,3AC6MFV69KICOFZKS57MGGIFXBEZHG
20,20,334ZEL5JX6FPFKZT1Q844WIDMISSOS
21,21,3ECKRY5B1QWCKAA4YNP7GSJUXOTZI9
22,22,3GVPRXWRPHUT004YFSXOP8QVNVGI70
23,23,3TUOHPJXYHX5GAUUMM51KYCR4ZTWXG
