index,meta_idx,batch_idx,action,type,query,url,response_1,response_2,response_3,response_4,response_5,mode,agreement
0,19675,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5938.mp4,yes,no,no,no,no,no,0.8
1,19676,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5939.mp4,no,no,no,no,yes,no,0.8
2,19677,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5940.mp4,no,no,no,no,yes,no,0.8
3,19678,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5941.mp4,no,no,no,no,yes,no,0.8
4,19679,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5942.mp4,yes,yes,no,no,yes,yes,0.6
5,19680,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5943.mp4,yes,yes,no,no,yes,yes,0.6
6,19681,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5944.mp4,yes,no,no,no,yes,no,0.6
7,19682,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5945.mp4,no,no,no,no,yes,no,0.8
8,19683,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5946.mp4,no,yes,no,no,no,no,0.8
9,19684,2197,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5947.mp4,yes,yes,no,yes,yes,yes,0.8
10,19685,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5948.mp4,yes,no,no,no,no,no,0.8
11,19686,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5949.mp4,yes,yes,yes,no,yes,yes,0.8
12,19687,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5950.mp4,yes,yes,yes,no,yes,yes,0.8
13,19688,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5951.mp4,yes,yes,yes,no,yes,yes,0.8
14,19689,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5952.mp4,no,yes,yes,no,yes,yes,0.6
15,19690,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5953.mp4,no,yes,yes,no,yes,yes,0.6
16,19691,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5954.mp4,yes,yes,yes,no,yes,yes,0.8
17,19692,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5955.mp4,yes,yes,yes,no,yes,yes,0.8
18,19693,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5956.mp4,yes,yes,yes,no,yes,yes,0.8
19,19694,2198,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5957.mp4,yes,yes,yes,no,yes,yes,0.8
20,19655,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5918.mp4,yes,yes,yes,yes,no,yes,0.8
21,19656,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5919.mp4,no,no,unsure,yes,no,no,0.6
